
=====4 MB array, read 256 elements====
Stride = 1 element, 4 bytes
1	 793
2	 254
3	 253
4	 253
5	 253
6	 253
7	 253
8	 253
9	 385
10	 253
11	 253
12	 254
13	 254
14	 253
15	 253
16	 254
17	 385
18	 254
19	 254
20	 253
21	 254
22	 253
23	 254
24	 253
25	 384
26	 253
27	 253
28	 253
29	 253
30	 253
31	 253
32	 253
33	 386
34	 254
35	 254
36	 253
37	 253
38	 253
39	 253
40	 253
41	 385
42	 253
43	 253
44	 253
45	 253
46	 253
47	 253
48	 254
49	 385
50	 254
51	 253
52	 254
53	 254
54	 254
55	 253
56	 254
57	 385
58	 253
59	 253
60	 307
61	 253
62	 254
63	 253
64	 255
65	 386
66	 256
67	 256
68	 255
69	 255
70	 255
71	 256
72	 255
73	 387
74	 255
75	 255
76	 256
77	 256
78	 256
79	 256
80	 255
81	 388
82	 256
83	 255
84	 255
85	 256
86	 256
87	 256
88	 255
89	 387
90	 256
91	 255
92	 255
93	 256
94	 256
95	 255
96	 256
97	 386
98	 256
99	 255
100	 256
101	 255
102	 256
103	 257
104	 255
105	 388
106	 256
107	 256
108	 257
109	 256
110	 256
111	 255
112	 255
113	 388
114	 256
115	 256
116	 256
117	 255
118	 257
119	 256
120	 255
121	 389
122	 256
123	 257
124	 256
125	 255
126	 256
127	 256
128	 256
129	 386
130	 253
131	 254
132	 254
133	 254
134	 253
135	 254
136	 253
137	 403
138	 254
139	 254
140	 254
141	 253
142	 253
143	 253
144	 253
145	 386
146	 253
147	 253
148	 253
149	 254
150	 254
151	 254
152	 254
153	 386
154	 254
155	 254
156	 254
157	 253
158	 253
159	 254
160	 253
161	 386
162	 253
163	 254
164	 254
165	 255
166	 253
167	 253
168	 253
169	 385
170	 253
171	 253
172	 253
173	 253
174	 253
175	 254
176	 253
177	 385
178	 254
179	 253
180	 253
181	 253
182	 253
183	 254
184	 253
185	 384
186	 254
187	 254
188	 254
189	 253
190	 254
191	 254
192	 254
193	 387
194	 255
195	 255
196	 255
197	 255
198	 255
199	 255
200	 256
201	 387
202	 256
203	 255
204	 256
205	 256
206	 256
207	 256
208	 255
209	 387
210	 255
211	 256
212	 256
213	 256
214	 255
215	 255
216	 255
217	 387
218	 256
219	 255
220	 255
221	 255
222	 256
223	 256
224	 256
225	 388
226	 257
227	 256
228	 256
229	 256
230	 256
231	 256
232	 257
233	 387
234	 256
235	 256
236	 256
237	 255
238	 255
239	 255
240	 256
241	 387
242	 256
243	 256
244	 260
245	 255
246	 255
247	 256
248	 255
249	 388
250	 255
251	 255
252	 255
253	 255
254	 255
255	 256
256	 256
